What Country or Region do you live in?,Which US State or Territory do you live in?,How old are you?,How many years of IT/Programming experience do you have?,How would you best describe the industry you currently work in?,Which best describes the size of your company?,Which of the following best describes your occupation?,What is your involvement in purchasing products or services for the company you work for? (You can choose more than one),,,,,,,What types of purchases are you involved in?,,,,,,"What is your budget for outside expenditures (hardware, software, consulting, etc) for 2011?",What type of project are you developing?,Which languages are you proficient in?,,,,,,,,,,,,,,,Which desktop operating system do you use the most?,What best describes your career / job satisfaction? ,"Including bonus, what is your annual compensation in USD?",Have you visited / Are you aware of Stack Overflow Careers?,Do you have a Stack Overflow Careers Profile?,"You answered you don't have a Careers profile, can you elaborate why?",,Which technology products do you own? (You can choose more than one),,,,,,,,,,,,,,,,,,,,"In the last 12 months, how much money have you spent on personal technology-related purchases? ",Please rate the advertising you've seen on Stack Overflow,,,,,,What advertisers do you remember seeing on Stack Overflow?,What is your current Stack Overflow reputation?,Which of our sites do you frequent most?,
Africa,,25-29,41070,Software Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
France,,20-24,<2,Software Products,"Other (not working, consultant, etc.)",Student,,,,,,No Involvement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Europe,,25-29,11,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,,Servers,Software,,,Other,"<$10,000",Web Platform,Java,JavaScript,CSS,PHP,Python,Objective-C,,SQL,C#,C++,C,,HTML5,,,Mac OS X,Its a paycheck,"$20,000 - $40,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,Android,,,Other Smart Phone,,,,,,,,PS3,,Wii,,,iPad,,,">$3,000",Agree,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,,100,Other Stack Exchange (please specify),"Game dev, Usability and main SO"
India,,25-29,40944,Software Products,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,,,HTML5,,,Windows XP,I enjoy going to work,Rather not say,No,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,,,,,,,,,,,,,,,mobile phone,<$100,Agree,Neutral,Neutral,Agree,Disagree,Disagree,hiring server,Don't have an account,Stack Overflow,
United Kingdom,,< 20,<2,Finance / Banking,Mature Small Business (25-100),IT Staff / System Administrator,,,,Purchaser,,,,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,Don't know,Other,,,,,,,,,,,,,,,,Windows 7,I enjoy going to work,"<$20,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,,,,,,,,Xbox,,,,,,,"$2,001-$3,000",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,50,Stack Overflow,
Other Europe,,25-29,41070,Web Services,Mature Small Business (25-100),Web Application Developer,,,,,Check Writer,,,,,Software,,,,"$25,001 - $40,000",Web Platform,,JavaScript,CSS,PHP,Python,,Ruby,SQL,,,,,HTML5,,,Windows 7,I enjoy going to work,"$20,000 - $40,000",No,No thank you,Couldn't get an invite,,,Android,,,,,,,,,,,,,,,,,,,"$1,001-$2,000",,,,,,,,,,
Netherlands,,25-29,11,Software Products,Start Up (1-25),"Executive (VP of Eng, CTO, CIO, etc.)",,,Approver,Purchaser,Check Writer,,I'm a Seller,Hardware,Servers,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",Enterprise,,,,,,,,SQL,C#,C++,C,,,,Brainfuck,Windows 7,Love my job,"$120,000 - $140,000",Yes,No thank you,Other (please specify),"I am a small business owner, and not looking for an employment else where ;-). I'd like to use Careers to find personnel in the future though.",iPhone,,,Windows Phone,,,,,,,,,,,,,,iPad,,,">$3,000",Agree,Agree,Neutral,Agree,Neutral,Strongly Disagree,"DevExpress, RedGate... I believe.. huh! not even sure.",200,Stack Overflow,
Other Asia,,25-29,41070,Finance / Banking,"Fortune 1000 (1,000+)",Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,Java,,,,,Objective-C,,,C#,C++,,,,,,Linux,I enjoy going to work,"$100,000 - $120,000",Yes,No thank you,Don't have anything cool to put on a profile,,iPhone,,,,,,Kindle,,,,,,,Xbox,,Other gaming system,,,,,"$501-$1,000",Neutral,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Tech books,Don't have an account,None,
United Kingdom,,20-24,40944,Software Products,Mature Small Business (25-100),Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,,,,,,Objective-C,,,C#,,,,,,,Mac OS X,Its a paycheck,Rather not say,No,Yes,,,iPhone,Android,,,,,,,,,,,PS3,,,Other gaming system,,,,,$100-$250,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,None,1,Stack Overflow,
United Kingdom,,30-34,41070,Finance / Banking,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,Enterprise,Java,,,,,,,,C#,,,,,,vb6,Windows 7,Love my job,Rather not say,Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,$251-$500,Neutral,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Neutral,,500,Stack Overflow,
Italy,,30-34,11,Software Products,Start Up (1-25),Server Programmer,,Recommender,,,,,,,,Software,,,,"$10,001 - $25,000",Enterprise,,,,,,,,SQL,C#,,,,,,,Windows 7,I enjoy going to work,"$20,000 - $40,000",No,"No, but I want one! (Please provide email and we will invite you)",,,,,,,Other Smart Phone,,,,,,,,,,,,,,Other tablet,,<$100,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,"starbytes,",100,Stack Overflow,
United Kingdom,,20-24,40944,Other,Mature Small Business (25-100),Web Application Developer,Influencer,Recommender,,Purchaser,,,,,,Software,,,Other,Don't know,SaaS,,JavaScript,CSS,PHP,,,,,C#,,,,HTML5,,,Linux,Its a paycheck,"$40,000 - $60,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,Regular Mobile Phone,,,,,,Netbook,,,Wii,,,,,,<$100,Neutral,Agree,Neutral,Agree,Disagree,Neutral,"This one... :)    Ummm, Rackspace maybe? Don't really pay attention (built in mental ad blocker)",Don't have an account,Stack Overflow,
India,,25-29,<2,Other,Student,Student,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,,SQL,,C++,C,,,,,Windows 7,I wish I had a job!,Student / Unemployed,No,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,,,,,,,,,Agree,Agree,Agree,Agree,Agree,Agree,,Don't have an account,Stack Overflow,
United States of America,Illinois,30-34,11,Software Products,"Other (not working, consultant, etc.)",Web Application Developer,Influencer,Recommender,,,,,,,,Software,,,,"<$10,000",Enterprise,Java,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Windows 7,I'm not happy in my job,"$80,000 - $100,000",No,No thank you,Didn't know about Careers before you asked,,,,,Windows Phone,,,,,,,Other media streaming device,,,Xbox,Wii,,,,Other tablet,,"$1,001-$2,000",Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Agree,I don't look at the advertisements,Don't have an account,Stack Overflow,
Other Europe,,25-29,40944,Software Products,Mid Sized (100-999),Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,Objective-C,,SQL,,,,,,,,Mac OS X,I enjoy going to work,Rather not say,Yes,Yes,,,iPhone,,,,Other Smart Phone,Regular Mobile Phone,,,,,,,,Xbox,,,,,Other tablet,,"$1,001-$2,000",Strongly Disagree,Strongly Disagree,Disagree,Agree,Disagree,Strongly Agree,,1000,Other Stack Exchange (please specify),literature
Other Europe,,20-24,41070,Education,Student,Web Application Developer,Influencer,Recommender,,,,,,,Servers,Software,,,,"<$10,000",Enterprise,Java,JavaScript,,,,,,,,,,,,,,Linux,Its a paycheck,Student / Unemployed,Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,<$100,Neutral,Neutral,Agree,Neutral,Agree,Strongly Disagree,,500,Stack Overflow,
United Kingdom,,25-29,41070,Software Products,Mature Small Business (25-100),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,,JavaScript,CSS,,,,,SQL,C#,,,,,,,Windows 7,I enjoy going to work,Rather not say,No,No thank you,Don't have anything cool to put on a profile,,,,,,Other Smart Phone,,,,,,,,,,,,,,,,$251-$500,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,,Don't have an account,Stack Overflow,
Other Europe,,25-29,40944,Software Products,"Other (not working, consultant, etc.)",Other,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,,,,,,Perl,,,,Windows 7,I wish I had a job!,Student / Unemployed,Yes,No thank you,Don't have anything cool to put on a profile,,,Android,,,Other Smart Phone,,Kindle,,,,Other media streaming device,,,Xbox,,Other gaming system,,,,,"$1,001-$2,000",,,,,,,,,,
India,,20-24,<2,Software Products,Mid Sized (100-999),Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Other,,,,,,,,,,,C,,,,,Linux,Love my job,Rather not say,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,nokia,<$100,,,,,,,,,,
Netherlands,,30-34,11,Advertising,Start Up (1-25),Server Programmer,Influencer,Recommender,Approver,Purchaser,Check Writer,,I'm a Seller,,,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,Other,"$10,001 - $25,000",Web Platform,,,,,Python,Objective-C,,SQL,C#,C++,C,,,,,Mac OS X,Love my job,Rather not say,Yes,No thank you,,,iPhone,,,,,,,,,,,,,,,,,iPad,,,$251-$500,,,Agree,,Disagree,Agree,,,Stack Overflow,
India,,25-29,40944,Software Products,Mature Small Business (25-100),Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,Java,,,,,,,,,,,,,,Groovy,Linux,Love my job,,No,"No, but I want one! (Please provide email and we will invite you)",,,,,,,Other Smart Phone,,,,,,,,,,,,,,,,$251-$500,Neutral,Agree,Neutral,Neutral,Strongly Disagree,Neutral,,Don't have an account,Stack Overflow,
France,,25-29,40944,Retail,Mid Sized (100-999),Desktop Application Developer,,Recommender,,Purchaser,,,,,,Software,,,Other,">$150,000",Enterprise,Java,JavaScript,CSS,PHP,,,,SQL,C#,,,,HTML5,,VB.NET,Windows 7,Love my job,"$20,000 - $40,000",No,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,Regular Mobile Phone,,,,,Other media streaming device,,,,,Other gaming system,,,,,$251-$500,Agree,Agree,Agree,Agree,Neutral,Disagree,Stack Careers,1,Stack Overflow,
United States of America,New Jersey,40-50,11,Finance / Banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,,20-24,41070,Other,Mid Sized (100-999),Web Application Developer,Influencer,Recommender,Approver,,,,,,,Software,,,Other,"$25,001 - $40,000",Web Platform,,JavaScript,CSS,PHP,,,,,C#,,,,HTML5,,,Windows 7,I enjoy going to work,"$60,000 - $80,000",Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,,,,,Other media streaming device,Netbook,PS3,,Wii,Other gaming system,,,,,"$501-$1,000",Agree,Agree,Neutral,Disagree,Strongly Disagree,Disagree,,200,Stack Overflow,
India,,20-24,40944,Web Services,Start Up (1-25),Web Application Developer,,Recommender,,,,,,,,,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Web Platform,,JavaScript,,,,,Ruby,SQL,,,,,HTML5,,,Linux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,20-24,<2,Software Products,Start Up (1-25),Web Application Developer,Influencer,,Approver,,,,,,,Software,,,,"$10,001 - $25,000",Mobile,Java,JavaScript,CSS,PHP,,,,SQL,,C++,C,,,,,Linux,I enjoy going to work,"<$20,000",No,No thank you,"Tried it, but had a problem",,iPhone,Android,Blackberry,Windows Phone,Other Smart Phone,Regular Mobile Phone,,,,,,,,,,,,,,,$251-$500,,,,,,,,,,
France,,30-34,41070,Other,"Fortune 1000 (1,000+)",Embedded Application Developer,Influencer,Recommender,,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"$10,001 - $25,000",Other,,,,,,,,SQL,,C++,C,,,,,Linux,Love my job,"$40,000 - $60,000",Yes,Yes,,,,,,,,Regular Mobile Phone,Kindle,,,,,,,,,,,,,Personal Computer,$251-$500,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Career 2.0,1000,Stack Overflow,
United Kingdom,,25-29,41070,Manufacturing,"Fortune 1000 (1,000+)",Manager of Developers or Team Leader,,Recommender,,,,,,,,Software,,,,">$150,000",Other,,,,,Python,,,SQL,,,C,Perl,,,,Linux,I enjoy going to work,"$60,000 - $80,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,Kindle,Nook,,,,Netbook,,,,,,,,,"$1,001-$2,000",Agree,Agree,Agree,Agree,Disagree,Strongly Disagree,careers 2.0,200,Programmers Stack Exchange,
India,,20-24,40944,Web Services,"Fortune 1000 (1,000+)",Web Application Developer,,,,,,No Involvement,,,,,,,,,Web Platform,Java,JavaScript,CSS,,,,,,,,,,HTML5,,,Windows XP,Hate my job,Rather not say,No,"No, but I want one! (Please provide email and we will invite you)",,,,,Blackberry,,,,,,,,,Netbook,,,,,,,,,"$1,001-$2,000",,Disagree,Agree,Strongly Disagree,Disagree,Agree,,50,Stack Overflow,
Germany,,20-24,40944,Web Services,Student,Web Application Developer,Influencer,Recommender,Approver,,Check Writer,,I'm a Seller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,25-29,40944,Software Products,Start Up (1-25),Server Programmer,,,Approver,,,,,,Servers,Software,,,,"<$10,000",Enterprise,Java,JavaScript,CSS,,,Objective-C,,,,,,,HTML5,,,Mac OS X,Love my job,"$20,000 - $40,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,iPhone,Android,,,,Regular Mobile Phone,,,,,,Netbook,,Xbox,,,,iPad,,,">$3,000",Neutral,Agree,Neutral,Agree,Disagree,Disagree,"Case of Monday morning something..  Stackoverflow merchandize, already purchased few things from India :)",200,Stack Overflow,
Middle East,,20-24,40944,Web Services,Start Up (1-25),Web Application Developer,Influencer,,,,,,,Hardware,,Software,,,,"<$10,000",SaaS,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Windows 7,I enjoy going to work,"$60,000 - $80,000",No,No thank you,Didn't know about Careers before you asked,,,Android,,,,,,,,,,,,,,,,,,,$100-$250,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,Don't have an account,Stack Overflow,
India,,20-24,41070,Other,"Fortune 1000 (1,000+)",Other,,,,,,No Involvement,,,,,,,,,Enterprise,Java,JavaScript,CSS,PHP,,,,,,C++,C,,,,VB.NET,Linux,I'm not happy in my job,"<$20,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,Android,,,,,,,,,,,,,,,,,,,$251-$500,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Agree,none,Don't have an account,None,
Other Europe,,30-34,<2,Manufacturing,Mid Sized (100-999),IT Staff / System Administrator,Influencer,Recommender,Approver,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",Consultants,,Don't know,Web Platform,,JavaScript,,,Python,,,SQL,C#,,,,,,,Windows XP,I enjoy going to work,Rather not say,Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,Other Smart Phone,,,,,,,,,,,,,,,,$251-$500,Neutral,Disagree,Agree,Agree,Agree,Disagree,,Don't have an account,Stack Overflow,
India,,25-29,40944,Software Products,Mid Sized (100-999),Systems Analyst,Influencer,,,,,,,Hardware,Servers,Software,,,,"$10,001 - $25,000",SaaS,Java,,,,,,,,,,,,,,,Linux,Love my job,"<$20,000",Yes,Yes,,,,,,,,Regular Mobile Phone,,,,,,,,,,,,,,,<$100,Agree,Agree,Agree,Agree,Agree,Agree,,50,Stack Overflow,
India,,25-29,<2,Software Products,Mature Small Business (25-100),Other,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,,SQL,,C++,C,,,,,Windows 7,Love my job,"<$20,000",No,No thank you,Couldn't get an invite,,,Android,,,,,,,,,,,,,,,,,,,<$100,Agree,Agree,Agree,Agree,Agree,Agree,,1,Stack Overflow,
Other Europe,,< 20,40944,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Web Platform,,JavaScript,CSS,PHP,,,,,C#,,,,,,Delphi,Windows 7,Love my job,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,iPhone,,,,,,,,,,,,,,Wii,Other gaming system,,,,PS2,$100-$250,Neutral,Neutral,Neutral,Agree,Strongly Disagree,Disagree,Careers 2.0,1000,Stack Overflow,
Other Europe,,20-24,41070,Software Products,Mature Small Business (25-100),Web Application Developer,,Recommender,,,,,,,,Software,,,,"<$10,000",Web Platform,,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Windows 7,I'm not happy in my job,"<$20,000",Yes,Yes,,,,Android,,,,,,,,,Other media streaming device,,,,,Other gaming system,,,Other tablet,,$251-$500,Neutral,Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,,,Stack Overflow,
Other Europe,,25-29,<2,Software Products,Start Up (1-25),Desktop Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,JavaScript,CSS,,,,,SQL,C#,,,,HTML5,,,Windows 7,I enjoy going to work,Rather not say,Yes,No thank you,Thought Careers site was just about finding a job and I already have one,,,Android,,,,,,,,,,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,1,Stack Overflow,
Russia,,25-29,41070,Software Products,"Fortune 1000 (1,000+)",Embedded Application Developer,,,,,,No Involvement,,,,,,,,,Mobile,Java,,,,,,,,,,C,,,,,Windows XP,Love my job,"<$20,000",Yes,Yes,,,iPhone,Android,,Windows Phone,,,,,,,,,,,,,,,,,$100-$250,Neutral,Agree,Neutral,Agree,Strongly Disagree,Disagree,,200,Stack Overflow,
Other Europe,,< 20,40944,Education,Student,IT Staff / System Administrator,,,,,,No Involvement,,,,,,,,,Web Platform,,,CSS,PHP,,,,,C#,,,,HTML5,,,Windows 7,I wish I had a job!,"<$20,000",No,No thank you,Didn't know about Careers before you asked,,,,,,,Regular Mobile Phone,,,,,,,,,,,,iPad,,,"$501-$1,000",Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,,Don't have an account,Stack Overflow,
Africa,,25-29,40944,Web Services,Start Up (1-25),Web Application Developer,Influencer,Recommender,,,,,,,Servers,Software,,,,"<$10,000",SaaS,Java,JavaScript,CSS,PHP,,,,SQL,C#,C++,,,,,,Windows Vista,I enjoy going to work,"$20,000 - $40,000",Yes,No thank you,Other (please specify),I live in South Africa,,Android,,,,,,,,,,Netbook,,,,,,iPad,,,"$501-$1,000",Neutral,Agree,Agree,Agree,Strongly Disagree,Disagree,Other stack exchange sites.,50,Stack Overflow,
Other Europe,,30-34,40944,Web Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,30-34,41070,Consulting,Mid Sized (100-999),Manager of Developers or Team Leader,,,,,,No Involvement,,,,,,,,,SaaS,,JavaScript,CSS,,,,,SQL,C#,,,,,,,Windows 7,I wish I had a job!,"$20,000 - $40,000",Yes,No thank you,Don't have anything cool to put on a profile,,,Android,,,,,,,,,,,,,,,,iPad,,,$251-$500,Agree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,,50,Stack Overflow,
Other Europe,,20-24,<2,Web Services,Start Up (1-25),Web Application Developer,,,,,,No Involvement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Netherlands,,30-34,41070,Software Products,Start Up (1-25),Desktop Application Developer,,Recommender,,Purchaser,,,,Hardware,,Software,,,,"<$10,000",Mobile,,JavaScript,CSS,PHP,,Objective-C,,SQL,,,,,HTML5,,,Mac OS X,I enjoy going to work,"$20,000 - $40,000",No,No thank you,Didn't know about Careers before you asked,,iPhone,Android,,,Other Smart Phone,,,,,,,,,,,,,iPad,,,$251-$500,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,1,Stack Overflow,
India,,20-24,<2,Gaming,Start Up (1-25),Other,,,,,,No Involvement,,,,,,,,,Mobile,,,,,,,,,,C++,,,,,,Mac OS X,Its a paycheck,"<$20,000",Yes,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,Regular Mobile Phone,,,,,,,,,,,,,,,<$100,Strongly Agree,Neutral,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,"Some new kind of source control thing, can't remember, BUT the adds are good and relevant!",100,Stack Overflow,
Other Asia,,20-24,40944,Web Services,Student,Web Application Developer,,,Approver,,,,,Hardware,,,"User Equipment: Monitors, PCs, Laptops",,Other,"<$10,000",Web Platform,Java,JavaScript,CSS,,,,,SQL,,,,,HTML5,,,Linux,I wish I had a job!,Student / Unemployed,Yes,Yes,,,,Android,,Windows Phone,,Regular Mobile Phone,,,,,,,,,,,,,,,$100-$250,,,,,,,,,,
India,,25-29,40944,Software Products,Mature Small Business (25-100),Web Application Developer,,Recommender,,,,,,,,Software,,Consultants,,"$10,001 - $25,000",Web Platform,Java,JavaScript,,,,,,SQL,C#,,,,,,,Windows 7,Its a paycheck,Rather not say,Yes,Yes,,,,Android,,,,,,,,,,,,,,,,,,,<$100,Disagree,Strongly Disagree,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,,50,Stack Overflow,
India,,25-29,<2,Software Products,Mid Sized (100-999),Manager of Developers or Team Leader,,,Approver,,,,,,,Software,,,,"<$10,000",Mobile,Java,,,,,Objective-C,,,,C++,C,,HTML5,,,Windows 7,I'm not happy in my job,"$40,000 - $60,000",No,Yes,,,iPhone,Android,,,,,,,,,,,,,,,,iPad,,,<$100,Agree,Agree,Agree,Agree,Agree,Neutral,,100,Stack Overflow,
India,,25-29,41070,Finance / Banking,"Fortune 1000 (1,000+)",Server Programmer,Influencer,,,,,,,,,,,,Other,Don't know,Web Platform,,,CSS,,,,,SQL,C#,,,,HTML5,,,Windows XP,I enjoy going to work,"<$20,000",No,"No, but I want one! (Please provide email and we will invite you)",,,,,,,,,,,,,,,,,,,,,,,<$100,Neutral,Neutral,Neutral,Agree,Disagree,Strongly Disagree,,Don't have an account,Stack Overflow,
Australasia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,,20-24,<2,Gaming,Mature Small Business (25-100),Other,,Recommender,Approver,,,,,Hardware,,Software,"User Equipment: Monitors, PCs, Laptops",,,"<$10,000",Mobile,Java,,,,,,,,,,,,,,,Windows XP,I enjoy going to work,"$20,000 - $40,000",Yes,Yes,,,,Android,,,Other Smart Phone,Regular Mobile Phone,,,,,,,,,,,,,,,$100-$250,Neutral,Disagree,Neutral,Neutral,Strongly Disagree,Disagree,serverfault,1,Stack Overflow,
